method,outcome,setting,mean_dz_norm,median_dz_norm,mean_dm,median_dm,mean_cos_to_preserve,median_cos_to_preserve
NN-Patching,regressed,tt100k_signs/densenet121,120.06180194747104,118.49385498614038,-8.9756127383594,-8.938905070225397,-0.05385241329821771,-0.05254426346127979
NN-Patching,regressed,tt100k_signs/resnet50,191.36083846605274,190.74587759368112,-10.87477995744579,-9.277189632256826,-0.043021791341332966,-0.03308472141767332
NN-Patching,regressed,tt100k_signs/vgg16,126610.7600258086,50297.231075701166,-443.9303354077868,-14.00829654559493,-0.00983999889521753,-0.012217229857570518
NN-Patching,stayed_correct,gtsrb/convnext_tiny,17.5788518391502,17.856756652720108,1.7909773094740082,1.4465520990391572,0.0757613359470684,0.0580967660394049
NN-Patching,stayed_correct,gtsrb/densenet121,57.04264567655642,56.93604569249265,-0.6753774034861973,-0.8619355882207552,-0.005773249015076365,-0.010314695322375935
NN-Patching,stayed_correct,gtsrb/resnet50,78.43564712334309,76.42715833080001,1.750829964008883,2.0922005201379457,0.024807602153729,0.021060532235661466
NN-Patching,stayed_correct,gtsrb/vgg16,118915.58526082447,66881.35501305904,30265.614982400704,13075.278954823812,0.13755269830338077,0.1198215729528318
NN-Patching,stayed_correct,lisa_signs/convnext_tiny,12.110617262963798,11.128384480143355,-2.864273289868104,-3.2882830165326595,-0.18163413259982253,-0.2061058767420675
NN-Patching,stayed_correct,lisa_signs/densenet121,35.98997048922275,35.91244512906729,-2.812835174142657,-3.460329379886389,-0.05416384841618549,-0.06861291666511986
NN-Patching,stayed_correct,lisa_signs/resnet50,101.0520803651471,102.44964702659841,8.42918478169718,7.819785704215367,0.07133483514262645,0.05730177890893027
NN-Patching,stayed_correct,lisa_signs/vgg16,582165.3629456712,601620.7915418572,181306.3631953361,153609.37507073084,0.1964400816641149,0.18972189119095448
NN-Patching,stayed_correct,tt100k_signs/convnext_tiny,25.444289139227447,25.301926676401546,1.739095745674461,1.065323106944561,0.03892707483669044,0.0250330158097416
NN-Patching,stayed_correct,tt100k_signs/densenet121,124.4182442824124,121.926484571833,3.4349301752452646,3.498890422284603,0.019766655600973168,0.01966647819189174
NN-Patching,stayed_correct,tt100k_signs/resnet50,215.72722291820932,214.55467721624316,5.069570090246686,4.7852767407894135,0.01666547421764594,0.01600669306839157
NN-Patching,stayed_correct,tt100k_signs/vgg16,14393.015081823427,332.9194398630036,3119.1120601726693,10.359547605117163,0.02661074376382637,0.022176477778336135
PatchNAS,regressed,gtsrb/convnext_tiny,31.739689295038286,31.677082463126638,-10.062762719070454,-10.609901348749796,-0.22908675909928602,-0.23395503975220988
PatchNAS,regressed,gtsrb/densenet121,59.22102326997004,57.70509452901337,-14.22957065670515,-14.71091109017531,-0.1709169819946719,-0.17297363920836897
PatchNAS,regressed,gtsrb/resnet50,71.06427817253338,68.54839721521157,-15.042302537854455,-14.821324358383814,-0.1489860461011032,-0.15016703619832925
PatchNAS,regressed,gtsrb/vgg16,9034.6881995442,775.287928762939,175.13582217917144,-28.167238066593807,-0.032075078770412296,-0.0518671618045859
PatchNAS,regressed,lisa_signs/convnext_tiny,25.032564812286992,24.713610325686314,-10.638246729853238,-10.886179248491922,-0.30668834583570354,-0.3025872425589518
PatchNAS,regressed,lisa_signs/densenet121,26.454883786703572,26.011213499965777,-8.796798663575288,-8.878291487693787,-0.23475302635584927,-0.2359817144212035
PatchNAS,regressed,lisa_signs/resnet50,88.60349452532944,53.1512007645581,-12.85546312135834,-12.596099257469177,-0.16022870750961812,-0.15821039020715388
PatchNAS,regressed,lisa_signs/vgg16,17889.31636308017,634.1056280310892,-242.92791604333834,-17.591678241888683,-0.04454276886042691,-0.06214752238500679
