method,setting,seed,n_classes_failed,RR_macro,RR_median_class,RR_p10_class,RR_iqr_class,repair_conc20,repair_spread,repair_spread_z,n_repaired,cov0.3,cov0.5,cov0.7,n_classes_est,Reg_overall,Reg_macro,Reg_max_class,n_classes_hit,frac_classes_hit,reg_conc20,reg_spread,reg_spread_z,n_regressed
NN-Patching [ungated],gtsrb/vgg16,202,29,0.4383745564780048,0.36363636363636365,0.0,0.8333333333333334,0.5145631067961165,0.8029057541579048,-4.0059154767350345,103,0.7894736842105263,0.5789473684210527,0.42105263157894735,19,0.9788797061524335,0.9714620426442625,1.0,43,1.0,0.4817594329789452,1.0,0.0,9594
NN-Patching [ungated],gtsrb/vgg16,303,30,0.5259255015137368,0.5857142857142856,0.0,0.8166666666666667,0.5413533834586466,0.7895209043603086,-5.02591729816549,133,1.0,0.8823529411764706,0.5882352941176471,17,0.969594939291909,0.9472942852374567,1.0,42,0.9767441860465116,0.4892139324423866,0.9767441860465116,0.0,9503
NN-Patching [ungated],tt100k_signs/resnet50,101,91,0.3160286599847039,0.0,0.0,0.7846153846153847,0.831081081081081,0.5031446540880503,-10.254896681732374,148,0.875,0.8125,0.6875,16,0.7804170694655435,0.8115285079572915,1.0,109,0.9316239316239316,0.7970270748540081,0.9515287750158224,-3.861826189358388,5651
NN-Patching [ungated],tt100k_signs/resnet50,202,92,0.34648033126294,0.0,0.0,1.0,0.8395061728395061,0.5227280754423763,-10.653604343416362,162,1.0,0.9230769230769231,0.9230769230769231,13,0.8425631818809557,0.7868785830941959,1.0,105,0.8974358974358975,0.8236354695951483,0.9126070140367649,-7.629310513136591,6101
NN-Patching [ungated],tt100k_signs/resnet50,303,89,0.34993154565196866,0.0,0.0,1.0,0.832258064516129,0.5231987792028485,-10.899294897568248,155,0.7857142857142857,0.7857142857142857,0.7857142857142857,14,0.8450490263775722,0.7911358914426008,1.0,104,0.896551724137931,0.8097728386991339,0.9110420042924094,-7.786296946648612,6119
NN-Patching [ungated],tt100k_signs/convnext_tiny,101,87,0.3616346588610456,0.0,0.0,1.0,0.808695652173913,0.5776530780656873,-7.864767354981874,115,0.9090909090909091,0.9090909090909091,0.8181818181818182,11,0.8984396386531618,0.821014158496635,1.0,106,0.8907563025210085,0.8115478366849482,0.89973474801061,-10.980209746418058,6564
NN-Patching [ungated],tt100k_signs/convnext_tiny,202,85,0.4392357968828557,0.0,0.0,1.0,0.7793103448275862,0.6091219729609271,-9.273690170272037,145,1.0,1.0,1.0,9,0.8343826991513824,0.8084088451326967,1.0,105,0.875,0.7975721784776902,0.8901511137485959,-10.070040397983815,6096
NN-Patching [ungated],tt100k_signs/convnext_tiny,303,84,0.42193362193362194,0.0,0.0,1.0,0.7872340425531915,0.6097096257907171,-9.081743141700173,141,1.0,1.0,1.0,9,0.8420476320832193,0.7852764051301171,1.0,100,0.847457627118644,0.8236345903771132,0.862608095576977,-11.964261232756074,6152
NN-Patching [ungated],tt100k_signs/densenet121,101,92,0.4759399899617291,0.3333333333333333,0.0,1.0,0.7702702702702703,0.6408579649489929,-8.472968277040192,222,0.8947368421052632,0.8421052631578947,0.8421052631578947,19,0.8461215932914046,0.8169652064018509,1.0,99,0.8839285714285714,0.8093822266270234,0.8971047981514204,-9.352809309417358,6054
NN-Patching [ungated],tt100k_signs/densenet121,202,82,0.4496379298208566,0.5,0.0,1.0,0.7899543378995434,0.6093579978237215,-9.440470013107538,219,0.9,0.9,0.8,20,0.8545073375262054,0.8145921368503299,1.0,99,0.8918918918918919,0.7901537455021262,0.9033877038895859,-9.40472735172195,6114
NN-Patching [ungated],tt100k_signs/densenet121,303,86,0.4571522475439245,0.5,0.0,1.0,0.7451923076923077,0.6394217403391715,-8.709112308018454,208,0.8888888888888888,0.8888888888888888,0.7777777777777778,18,0.8918238993710692,0.8531029973132014,1.0,103,0.911504424778761,0.8108446951888418,0.9220921644546899,-8.33933342687549,6381
NN-Patching [ungated],tt100k_signs/vgg16,101,100,0.3665360750360751,0.19642857142857142,0.0,0.8083333333333333,0.7034482758620689,0.760701855107826,-4.702500782590802,145,0.7619047619047619,0.5714285714285714,0.38095238095238093,21,0.9448807854137448,0.8286721084184749,1.0,106,0.9217391304347826,0.8071842066201573,0.9258248356879271,-12.590897951071588,6737
