gate,dataset,backbone,q,Reg,CReg,Risk,RR_held,Reg_base,CReg_base,Risk_base,RR_base,n_crit,n_creg,n_clean,n_held,frac_Reg_removed,frac_CReg_removed,frac_Risk_removed
L1 magnitude,gtsrb,densenet121,0.06,0.002975,0.000846,0.004412,0.783133,0.003376,0.001014,0.005148,0.819277,1972.3,2.0,9972.0,83.0,0.1188,0.1661,0.1429
L1 magnitude,gtsrb,densenet121,0.07,0.002942,0.000846,0.004379,0.7751,0.003376,0.001014,0.005148,0.819277,1972.3,2.0,9972.0,83.0,0.1287,0.1661,0.1494
L1 magnitude,gtsrb,densenet121,0.08,0.002908,0.000846,0.004346,0.763052,0.003376,0.001014,0.005148,0.819277,1972.3,2.0,9972.0,83.0,0.1386,0.1661,0.1558
L1 magnitude,gtsrb,densenet121,0.09,0.002875,0.000846,0.004279,0.759036,0.003376,0.001014,0.005148,0.819277,1972.3,2.0,9972.0,83.0,0.1485,0.1661,0.1688
L1 magnitude,gtsrb,densenet121,0.1,0.002841,0.000846,0.004145,0.751004,0.003376,0.001014,0.005148,0.819277,1972.3,2.0,9972.0,83.0,0.1584,0.1661,0.1948
L1 magnitude,gtsrb,densenet121,0.11,0.002774,0.000846,0.003978,0.746988,0.003376,0.001014,0.005148,0.819277,1972.3,2.0,9972.0,83.0,0.1782,0.1661,0.2273
L1 magnitude,gtsrb,densenet121,0.12,0.002774,0.000846,0.003978,0.730924,0.003376,0.001014,0.005148,0.819277,1972.3,2.0,9972.0,83.0,0.1782,0.1661,0.2273
L1 magnitude,gtsrb,densenet121,0.13,0.002741,0.000846,0.003944,0.722892,0.003376,0.001014,0.005148,0.819277,1972.3,2.0,9972.0,83.0,0.1881,0.1661,0.2338
L1 magnitude,gtsrb,densenet121,0.14,0.002708,0.000677,0.003744,0.714859,0.003376,0.001014,0.005148,0.819277,1972.3,2.0,9972.0,83.0,0.198,0.3327,0.2727
L1 magnitude,gtsrb,densenet121,0.15,0.002674,0.000677,0.00371,0.702811,0.003376,0.001014,0.005148,0.819277,1972.3,2.0,9972.0,83.0,0.2079,0.3327,0.2792
L1 magnitude,gtsrb,densenet121,0.16,0.002641,0.000677,0.003644,0.694779,0.003376,0.001014,0.005148,0.819277,1972.3,2.0,9972.0,83.0,0.2178,0.3327,0.2922
L1 magnitude,gtsrb,densenet121,0.17,0.002607,0.000677,0.00361,0.690763,0.003376,0.001014,0.005148,0.819277,1972.3,2.0,9972.0,83.0,0.2277,0.3327,0.2987
L1 magnitude,gtsrb,densenet121,0.18,0.002574,0.000507,0.00341,0.678715,0.003376,0.001014,0.005148,0.819277,1972.3,2.0,9972.0,83.0,0.2376,0.4998,0.3377
L1 magnitude,gtsrb,densenet121,0.19,0.00254,0.000507,0.003376,0.670683,0.003376,0.001014,0.005148,0.819277,1972.3,2.0,9972.0,83.0,0.2475,0.4998,0.3442
L1 magnitude,gtsrb,densenet121,0.2,0.00254,0.000507,0.003376,0.658635,0.003376,0.001014,0.005148,0.819277,1972.3,2.0,9972.0,83.0,0.2475,0.4998,0.3442
L1 magnitude,gtsrb,densenet121,0.21,0.00254,0.000507,0.003376,0.646586,0.003376,0.001014,0.005148,0.819277,1972.3,2.0,9972.0,83.0,0.2475,0.4998,0.3442
L1 magnitude,gtsrb,densenet121,0.22,0.00254,0.000507,0.003376,0.630522,0.003376,0.001014,0.005148,0.819277,1972.3,2.0,9972.0,83.0,0.2475,0.4998,0.3442
L1 magnitude,gtsrb,densenet121,0.23,0.002507,0.000507,0.003343,0.62249,0.003376,0.001014,0.005148,0.819277,1972.3,2.0,9972.0,83.0,0.2574,0.4998,0.3506
L1 magnitude,gtsrb,densenet121,0.24,0.002507,0.000507,0.003343,0.606426,0.003376,0.001014,0.005148,0.819277,1972.3,2.0,9972.0,83.0,0.2574,0.4998,0.3506
L1 magnitude,gtsrb,densenet121,0.25,0.002474,0.000507,0.003309,0.598394,0.003376,0.001014,0.005148,0.819277,1972.3,2.0,9972.0,83.0,0.2673,0.4998,0.3571
L1 magnitude,gtsrb,densenet121,0.26,0.002474,0.000507,0.003309,0.590361,0.003376,0.001014,0.005148,0.819277,1972.3,2.0,9972.0,83.0,0.2673,0.4998,0.3571
L1 magnitude,gtsrb,densenet121,0.27,0.00244,0.000507,0.003276,0.582329,0.003376,0.001014,0.005148,0.819277,1972.3,2.0,9972.0,83.0,0.2772,0.4998,0.3636
L1 magnitude,gtsrb,densenet121,0.28,0.002373,0.000507,0.003209,0.578313,0.003376,0.001014,0.005148,0.819277,1972.3,2.0,9972.0,83.0,0.297,0.4998,0.3766
L1 magnitude,gtsrb,densenet121,0.29,0.00234,0.000507,0.003176,0.566265,0.003376,0.001014,0.005148,0.819277,1972.3,2.0,9972.0,83.0,0.3069,0.4998,0.3831
L1 magnitude,gtsrb,densenet121,0.3,0.002306,0.000507,0.003142,0.554217,0.003376,0.001014,0.005148,0.819277,1972.3,2.0,9972.0,83.0,0.3168,0.4998,0.3896
L1 magnitude,gtsrb,densenet121,0.325,0.00224,0.000338,0.002908,0.53012,0.003376,0.001014,0.005148,0.819277,1972.3,2.0,9972.0,83.0,0.3366,0.6668,0.4351
L1 magnitude,gtsrb,densenet121,0.35,0.002173,0.000338,0.002774,0.518072,0.003376,0.001014,0.005148,0.819277,1972.3,2.0,9972.0,83.0,0.3564,0.6668,0.461
L1 magnitude,gtsrb,densenet121,0.375,0.002139,0.000338,0.002741,0.485944,0.003376,0.001014,0.005148,0.819277,1972.3,2.0,9972.0,83.0,0.3663,0.6668,0.4675
L1 magnitude,gtsrb,densenet121,0.4,0.002106,0.000338,0.002708,0.457831,0.003376,0.001014,0.005148,0.819277,1972.3,2.0,9972.0,83.0,0.3762,0.6668,0.474
L1 magnitude,gtsrb,densenet121,0.425,0.002039,0.000338,0.002641,0.433735,0.003376,0.001014,0.005148,0.819277,1972.3,2.0,9972.0,83.0,0.396,0.6668,0.487
L1 magnitude,gtsrb,densenet121,0.45,0.001939,0.000338,0.002507,0.417671,0.003376,0.001014,0.005148,0.819277,1972.3,2.0,9972.0,83.0,0.4257,0.6668,0.513
L1 magnitude,gtsrb,densenet121,0.475,0.001905,0.000338,0.002474,0.389558,0.003376,0.001014,0.005148,0.819277,1972.3,2.0,9972.0,83.0,0.4356,0.6668,0.5195
L1 magnitude,gtsrb,densenet121,0.5,0.001772,0.000338,0.00234,0.369478,0.003376,0.001014,0.005148,0.819277,1972.3,2.0,9972.0,83.0,0.4752,0.6668,0.5455
L1 magnitude,gtsrb,densenet121,0.525,0.001738,0.000338,0.002306,0.349398,0.003376,0.001014,0.005148,0.819277,1972.3,2.0,9972.0,83.0,0.4851,0.6668,0.5519
L1 magnitude,gtsrb,densenet121,0.55,0.001671,0.000338,0.00224,0.325301,0.003376,0.001014,0.005148,0.819277,1972.3,2.0,9972.0,83.0,0.505,0.6668,0.5649
L1 magnitude,gtsrb,densenet121,0.575,0.001638,0.000338,0.002206,0.297189,0.003376,0.001014,0.005148,0.819277,1972.3,2.0,9972.0,83.0,0.5149,0.6668,0.5714
L1 magnitude,gtsrb,densenet121,0.6,0.001571,0.000338,0.002139,0.273092,0.003376,0.001014,0.005148,0.819277,1972.3,2.0,9972.0,83.0,0.5347,0.6668,0.5844
L1 magnitude,gtsrb,densenet121,0.625,0.001504,0.000338,0.002072,0.24498,0.003376,0.001014,0.005148,0.819277,1972.3,2.0,9972.0,83.0,0.5545,0.6668,0.5974
