gate,dataset,backbone,q,Reg,CReg,Risk,RR_held,Reg_base,CReg_base,Risk_base,RR_base,n_crit,n_creg,n_clean,n_held,frac_Reg_removed,frac_CReg_removed,frac_Risk_removed
DPGate,gtsrb,resnet50,0.35,0.002992,0.0,0.008211,0.701389,0.006748,0.000342,0.016921,0.701389,1957.0,0.7,10027.0,48.0,0.5567,1.0,0.5147
DPGate,gtsrb,resnet50,0.375,0.002759,0.0,0.007546,0.701389,0.006748,0.000342,0.016921,0.701389,1957.0,0.7,10027.0,48.0,0.5911,1.0,0.554
DPGate,gtsrb,resnet50,0.4,0.00246,0.0,0.006649,0.701389,0.006748,0.000342,0.016921,0.701389,1957.0,0.7,10027.0,48.0,0.6355,1.0,0.6071
DPGate,gtsrb,resnet50,0.425,0.002194,0.0,0.00615,0.701389,0.006748,0.000342,0.016921,0.701389,1957.0,0.7,10027.0,48.0,0.6749,1.0,0.6365
DPGate,gtsrb,resnet50,0.45,0.001928,0.0,0.005452,0.701389,0.006748,0.000342,0.016921,0.701389,1957.0,0.7,10027.0,48.0,0.7143,1.0,0.6778
DPGate,gtsrb,resnet50,0.475,0.001695,0.0,0.004887,0.701389,0.006748,0.000342,0.016921,0.701389,1957.0,0.7,10027.0,48.0,0.7488,1.0,0.7112
DPGate,gtsrb,resnet50,0.5,0.001429,0.0,0.004222,0.701389,0.006748,0.000342,0.016921,0.701389,1957.0,0.7,10027.0,48.0,0.7882,1.0,0.7505
DPGate,gtsrb,resnet50,0.525,0.00123,0.0,0.003624,0.694444,0.006748,0.000342,0.016921,0.701389,1957.0,0.7,10027.0,48.0,0.8177,1.0,0.7859
DPGate,gtsrb,resnet50,0.55,0.001064,0.0,0.003191,0.6875,0.006748,0.000342,0.016921,0.701389,1957.0,0.7,10027.0,48.0,0.8424,1.0,0.8114
DPGate,gtsrb,resnet50,0.575,0.000864,0.0,0.002626,0.680556,0.006748,0.000342,0.016921,0.701389,1957.0,0.7,10027.0,48.0,0.8719,1.0,0.8448
DPGate,gtsrb,resnet50,0.6,0.000798,0.0,0.002427,0.652778,0.006748,0.000342,0.016921,0.701389,1957.0,0.7,10027.0,48.0,0.8818,1.0,0.8566
DPGate,gtsrb,resnet50,0.625,0.000598,0.0,0.001895,0.645833,0.006748,0.000342,0.016921,0.701389,1957.0,0.7,10027.0,48.0,0.9113,1.0,0.888
DPGate,gtsrb,resnet50,0.65,0.000432,0.0,0.001496,0.631944,0.006748,0.000342,0.016921,0.701389,1957.0,0.7,10027.0,48.0,0.936,1.0,0.9116
DPGate,gtsrb,resnet50,0.675,0.000299,0.0,0.001064,0.618056,0.006748,0.000342,0.016921,0.701389,1957.0,0.7,10027.0,48.0,0.9557,1.0,0.9371
DPGate,gtsrb,resnet50,0.7,0.000199,0.0,0.000765,0.597222,0.006748,0.000342,0.016921,0.701389,1957.0,0.7,10027.0,48.0,0.9704,1.0,0.9548
DPGate,gtsrb,resnet50,0.725,0.0001,0.0,0.000399,0.5625,0.006748,0.000342,0.016921,0.701389,1957.0,0.7,10027.0,48.0,0.9852,1.0,0.9764
DPGate,gtsrb,resnet50,0.75,3.3e-05,0.0,0.000166,0.527778,0.006748,0.000342,0.016921,0.701389,1957.0,0.7,10027.0,48.0,0.9951,1.0,0.9902
DPGate,gtsrb,resnet50,0.775,0.0,0.0,0.0,0.486111,0.006748,0.000342,0.016921,0.701389,1957.0,0.7,10027.0,48.0,1.0,1.0,1.0
DPGate,gtsrb,resnet50,0.8,0.0,0.0,0.0,0.444444,0.006748,0.000342,0.016921,0.701389,1957.0,0.7,10027.0,48.0,1.0,1.0,1.0
DPGate,gtsrb,resnet50,0.825,0.0,0.0,0.0,0.395833,0.006748,0.000342,0.016921,0.701389,1957.0,0.7,10027.0,48.0,1.0,1.0,1.0
DPGate,gtsrb,resnet50,0.85,0.0,0.0,0.0,0.340278,0.006748,0.000342,0.016921,0.701389,1957.0,0.7,10027.0,48.0,1.0,1.0,1.0
DPGate,gtsrb,resnet50,0.875,0.0,0.0,0.0,0.284722,0.006748,0.000342,0.016921,0.701389,1957.0,0.7,10027.0,48.0,1.0,1.0,1.0
DPGate,gtsrb,resnet50,0.9,0.0,0.0,0.0,0.229167,0.006748,0.000342,0.016921,0.701389,1957.0,0.7,10027.0,48.0,1.0,1.0,1.0
DPGate,gtsrb,resnet50,0.925,0.0,0.0,0.0,0.180556,0.006748,0.000342,0.016921,0.701389,1957.0,0.7,10027.0,48.0,1.0,1.0,1.0
DPGate,gtsrb,resnet50,0.95,0.0,0.0,0.0,0.125,0.006748,0.000342,0.016921,0.701389,1957.0,0.7,10027.0,48.0,1.0,1.0,1.0
