setting,seed,n_train_pos,n_train_neg,theta,Reg,CReg,RR_held,realised_r,n_held,n_clean,n_crit,n,prevalence,accuracy,precision,recall,f1,TP,FP,FN,TN
gtsrb/resnet50,202,44,19,0.0,0.0006981150892590007,0.0,0.6666666666666666,0.8478260869565217,48,10027,1976,86,0.4186046511627907,0.8604651162790697,0.8,0.8888888888888888,0.8421052631578948,32,8,4,42
gtsrb/vgg16,202,148,12,0.0,0.0042852770125497396,0.0005224660397074191,0.6052631578947368,0.16,190,9801,1914,190,0.6105263157894737,0.6736842105263158,0.6534090909090909,0.9913793103448276,0.7876712328767124,115,61,1,13
lisa_signs/densenet121,202,14,2,0.0,0.0010559662090813093,0.0027624309392265192,0.35294117647058826,0.5,17,1894,724,16,0.5,0.6875,0.6666666666666666,0.75,0.7058823529411765,6,3,2,5
lisa_signs/resnet50,202,28,3,0.0,0.0026795284030010718,0.004213483146067416,0.38235294117647056,0.5,34,1866,712,36,0.5833333333333334,0.5833333333333334,0.65,0.6190476190476191,0.6341463414634146,13,7,8,8
lisa_signs/vgg16,202,25,2,0.0,0.001609442060085837,0.0027359781121751026,0.25,0.0,36,1864,731,19,0.5789473684210527,0.5263157894736842,0.5625,0.8181818181818182,0.6666666666666666,9,7,2,1
tt100k_signs/convnext_tiny,202,136,20,0.0,0.005064330687106488,0.0026679602231384912,0.2981651376146789,0.3833333333333334,218,7306,4123,155,0.49032258064516127,0.5870967741935483,0.5508474576271186,0.8552631578947368,0.6701030927835051,65,53,11,26
tt100k_signs/densenet121,202,242,34,0.0,0.004891684136967156,0.0009883864591055103,0.47435897435897434,0.5679012345679012,312,7155,4047,278,0.5971223021582733,0.7230215827338129,0.714975845410628,0.891566265060241,0.7935656836461125,148,59,18,53
tt100k_signs/resnet50,202,180,33,0.0,0.0040044186688760015,0.0014731156395777069,0.29069767441860467,0.6627906976744187,258,7242,4073,229,0.4366812227074236,0.6899563318777293,0.6198347107438017,0.75,0.6787330316742083,75,46,25,83
tt100k_signs/vgg16,202,172,32,0.0,0.016129032258064516,0.01183723797780518,0.32926829268292684,0.0,328,7130,4055,308,0.35064935064935066,0.35714285714285715,0.35294117647058826,1.0,0.5217391304347826,108,198,0,2
gtsrb/convnext_tiny,303,205,1,0.0,0.0013323767551501487,0.0,0.8341013824884793,0.0,217,9757,1945,199,0.9095477386934674,0.9095477386934674,0.9095477386934674,1.0,0.9526315789473685,181,18,0,0
gtsrb/densenet121,303,81,18,0.0,0.0005014039310068191,0.0,0.8313253012048193,0.8809523809523809,83,9972,1978,118,0.6016949152542372,0.9322033898305084,0.92,0.971830985915493,0.9452054794520549,69,6,2,41
gtsrb/resnet50,303,46,18,0.0,0.0012964994514810012,0.0,0.5,0.821917808219178,48,10027,1928,110,0.2909090909090909,0.8090909090909091,0.6486486486486487,0.75,0.6956521739130435,24,13,8,65
gtsrb/vgg16,303,152,6,0.0,0.003264972961942659,0.0005213764337851929,0.5789473684210527,0.0,190,9801,1918,156,0.7051282051282052,0.717948717948718,0.7142857142857143,1.0,0.8333333333333333,110,44,0,2
lisa_signs/convnext_tiny,303,9,1,0.0,0.0026329647182727752,0.004087193460490463,0.2857142857142857,0.16666666666666663,14,1899,734,13,0.5384615384615384,0.38461538461538464,0.4444444444444444,0.5714285714285714,0.5,4,5,3,1
lisa_signs/densenet121,303,14,2,0.0,0.0021119324181626186,0.004081632653061225,0.23529411764705882,0.6923076923076923,17,1894,735,24,0.25,0.75,0.5,0.6666666666666666,0.5714285714285715,4,4,2,14
lisa_signs/resnet50,303,30,2,0.0,0.004287245444801715,0.007032348804500703,0.38235294117647056,0.11111111111111119,34,1866,711,27,0.48148148148148145,0.5555555555555556,0.52,1.0,0.6842105263157895,13,12,0,2
tt100k_signs/convnext_tiny,303,139,19,0.0,0.0046537092800438,0.0016871535309713184,0.3073394495412844,0.46874999999999994,218,7306,4149,164,0.4695121951219512,0.6341463414634146,0.5726495726495726,0.8701298701298701,0.6907216494845361,67,50,10,37
tt100k_signs/densenet121,303,230,25,0.0,0.008385744234800839,0.0029332681495966755,0.44551282051282054,0.4339622641509434,312,7155,4091,294,0.5374149659863946,0.6632653061224489,0.634703196347032,0.879746835443038,0.7374005305039788,139,80,19,56
tt100k_signs/resnet50,303,186,24,0.0,0.00428058547362607,0.0014641288433382138,0.2868217054263566,0.5571428571428572,258,7242,4098,209,0.430622009569378,0.6172248803827751,0.5362318840579711,0.8222222222222222,0.6491228070175439,74,64,16,55
tt100k_signs/vgg16,303,190,30,0.0,0.017952314165497897,0.011547911547911549,0.2926829268292683,0.03759398496240601,328,7130,4070,322,0.2981366459627329,0.3167701863354037,0.3037974683544304,1.0,0.46601941747572817,96,220,0,6
