method,variant,setting,label,dataset,backbone,seed,metric,value,note,source
"DynaPatch-NoGate (40ep, no early stop)",ep40ns,gtsrb/densenet121,G-DN,gtsrb,densenet121,303,RR_held,0.855422,,outputs/patch_ablation
"DynaPatch-NoGate (40ep, no early stop)",ep40ns,gtsrb/densenet121,G-DN,gtsrb,densenet121,303,Reg,0.004212,,outputs/patch_ablation
"DynaPatch-NoGate (40ep, no early stop)",ep40ns,gtsrb/densenet121,G-DN,gtsrb,densenet121,303,CReg,0.001011,,outputs/patch_ablation
FixedPatch (best lr),fixed60_lr1e1,gtsrb/densenet121,G-DN,gtsrb,densenet121,101,RR_seen,0.818182,"best of lr {1e-2,1e-1} on RR_held",outputs/patch_ablation
FixedPatch (best lr),fixed60_lr1e1,gtsrb/densenet121,G-DN,gtsrb,densenet121,101,RR_held,0.722892,"best of lr {1e-2,1e-1} on RR_held",outputs/patch_ablation
FixedPatch (best lr),fixed60_lr1e1,gtsrb/densenet121,G-DN,gtsrb,densenet121,101,Reg,0.004212,"best of lr {1e-2,1e-1} on RR_held",outputs/patch_ablation
FixedPatch (best lr),fixed60_lr1e1,gtsrb/densenet121,G-DN,gtsrb,densenet121,101,CReg,0.001521,"best of lr {1e-2,1e-1} on RR_held",outputs/patch_ablation
FixedPatch (best lr),fixed60_lr1e1,gtsrb/densenet121,G-DN,gtsrb,densenet121,202,RR_seen,0.727273,"best of lr {1e-2,1e-1} on RR_held",outputs/patch_ablation
FixedPatch (best lr),fixed60_lr1e1,gtsrb/densenet121,G-DN,gtsrb,densenet121,202,RR_held,0.674699,"best of lr {1e-2,1e-1} on RR_held",outputs/patch_ablation
FixedPatch (best lr),fixed60_lr1e1,gtsrb/densenet121,G-DN,gtsrb,densenet121,202,Reg,0.001905,"best of lr {1e-2,1e-1} on RR_held",outputs/patch_ablation
FixedPatch (best lr),fixed60_lr1e1,gtsrb/densenet121,G-DN,gtsrb,densenet121,202,CReg,0.002034,"best of lr {1e-2,1e-1} on RR_held",outputs/patch_ablation
FixedPatch (best lr),fixed60_lr1e1,gtsrb/densenet121,G-DN,gtsrb,densenet121,303,RR_seen,0.69697,"best of lr {1e-2,1e-1} on RR_held",outputs/patch_ablation
FixedPatch (best lr),fixed60_lr1e1,gtsrb/densenet121,G-DN,gtsrb,densenet121,303,RR_held,0.759036,"best of lr {1e-2,1e-1} on RR_held",outputs/patch_ablation
