setting,seed,lambda,RR_held,Reg,CReg,method
gtsrb/convnext_tiny,303,0.5,0.8341013824884793,0.0013323767551501487,0.0,DynaPatch
gtsrb/convnext_tiny,303,1.0,0.8341013824884793,0.0013323767551501487,0.0,DynaPatch
gtsrb/convnext_tiny,303,2.0,0.8341013824884793,0.0013323767551501487,0.0,DynaPatch
gtsrb/convnext_tiny,303,4.0,0.8341013824884793,0.0013323767551501487,0.0,DynaPatch
gtsrb/densenet121,303,0.5,0.8313253012048193,0.0009025270758122744,0.0,DynaPatch
gtsrb/densenet121,303,1.0,0.8313253012048193,0.0005014039310068191,0.0,DynaPatch
gtsrb/densenet121,303,2.0,0.8313253012048193,0.00030084235860409147,0.0,DynaPatch
gtsrb/densenet121,303,4.0,0.8072289156626506,0.00010028078620136381,0.0,DynaPatch
gtsrb/resnet50,303,0.5,0.5208333333333334,0.0017951530866660017,0.0,DynaPatch
gtsrb/resnet50,303,1.0,0.5,0.0012964994514810012,0.0,DynaPatch
gtsrb/resnet50,303,2.0,0.4791666666666667,0.000997307270370001,0.0,DynaPatch
gtsrb/resnet50,303,4.0,0.4583333333333333,0.0008975765433330009,0.0,DynaPatch
gtsrb/vgg16,303,0.5,0.5789473684210527,0.003264972961942659,0.0005213764337851929,DynaPatch
gtsrb/vgg16,303,1.0,0.5789473684210527,0.003264972961942659,0.0005213764337851929,DynaPatch
gtsrb/vgg16,303,2.0,0.5789473684210527,0.003060912151821243,0.0005213764337851929,DynaPatch
gtsrb/vgg16,303,4.0,0.5684210526315789,0.0026527905315784106,0.0005213764337851929,DynaPatch
lisa_signs/convnext_tiny,303,0.5,0.35714285714285715,0.0026329647182727752,0.004087193460490463,DynaPatch
lisa_signs/convnext_tiny,303,1.0,0.2857142857142857,0.0026329647182727752,0.004087193460490463,DynaPatch
lisa_signs/convnext_tiny,303,2.0,0.2857142857142857,0.00210637177461822,0.0027247956403269754,DynaPatch
lisa_signs/convnext_tiny,303,4.0,0.2857142857142857,0.001579778830963665,0.0027247956403269754,DynaPatch
lisa_signs/densenet121,303,0.5,0.23529411764705882,0.0031678986272439284,0.006802721088435374,DynaPatch
lisa_signs/densenet121,303,1.0,0.23529411764705882,0.0021119324181626186,0.004081632653061225,DynaPatch
lisa_signs/densenet121,303,2.0,0.23529411764705882,0.0005279831045406547,0.0013605442176870747,DynaPatch
lisa_signs/densenet121,303,4.0,0.17647058823529413,0.0005279831045406547,0.0013605442176870747,DynaPatch
lisa_signs/resnet50,303,0.5,0.38235294117647056,0.00482315112540193,0.008438818565400843,DynaPatch
lisa_signs/resnet50,303,1.0,0.38235294117647056,0.004287245444801715,0.007032348804500703,DynaPatch
lisa_signs/resnet50,303,2.0,0.35294117647058826,0.0037513397642015005,0.007032348804500703,DynaPatch
lisa_signs/resnet50,303,4.0,0.3235294117647059,0.0021436227224008574,0.0028129395218002813,DynaPatch
tt100k_signs/convnext_tiny,303,0.5,0.3348623853211009,0.006569942513003011,0.001928175463967221,DynaPatch
tt100k_signs/convnext_tiny,303,1.0,0.3073394495412844,0.0046537092800438,0.0016871535309713184,DynaPatch
tt100k_signs/convnext_tiny,303,2.0,0.28440366972477066,0.0035587188612099642,0.0016871535309713184,DynaPatch
tt100k_signs/convnext_tiny,303,4.0,0.24770642201834864,0.0016424856282507528,0.0007230657989877079,DynaPatch
tt100k_signs/densenet121,303,0.5,0.46794871794871795,0.010202655485674353,0.004155463211928624,DynaPatch
tt100k_signs/densenet121,303,1.0,0.44551282051282054,0.008385744234800839,0.0029332681495966755,DynaPatch
tt100k_signs/densenet121,303,2.0,0.4230769230769231,0.0067085953878406705,0.0024443901246638962,DynaPatch
tt100k_signs/densenet121,303,4.0,0.391025641025641,0.004891684136967156,0.0017110730872647274,DynaPatch
tt100k_signs/resnet50,303,0.5,0.313953488372093,0.00579950289975145,0.002440214738897023,DynaPatch
tt100k_signs/resnet50,303,1.0,0.2868217054263566,0.00428058547362607,0.0014641288433382138,DynaPatch
tt100k_signs/resnet50,303,2.0,0.25193798449612403,0.003728251864125932,0.0012201073694485115,DynaPatch
tt100k_signs/resnet50,303,4.0,0.20155038759689922,0.0027616680475006906,0.0004880429477794046,DynaPatch
tt100k_signs/vgg16,303,0.5,0.2926829268292683,0.018513323983169707,0.01203931203931204,DynaPatch
tt100k_signs/vgg16,303,1.0,0.2926829268292683,0.017952314165497897,0.011547911547911549,DynaPatch
tt100k_signs/vgg16,303,2.0,0.2804878048780488,0.014726507713884993,0.009336609336609337,DynaPatch
tt100k_signs/vgg16,303,4.0,0.24085365853658536,0.009537166900420757,0.005651105651105651,DynaPatch
