setting,seed,lambda,RR_held,Reg,CReg,method
gtsrb/convnext_tiny,202,4.0,0.9216589861751152,0.00010249051962693452,0.0,NN-Patching
gtsrb/convnext_tiny,303,0.5,0.9170506912442397,0.00030747155888080353,0.0,NN-Patching
gtsrb/convnext_tiny,303,1.0,0.9124423963133641,0.00020498103925386903,0.0,NN-Patching
gtsrb/convnext_tiny,303,2.0,0.9078341013824884,0.00010249051962693452,0.0,NN-Patching
gtsrb/convnext_tiny,303,4.0,0.8940092165898618,0.0,0.0,NN-Patching
gtsrb/densenet121,101,0.5,0.7710843373493976,0.0006016847172081829,0.0,NN-Patching
gtsrb/densenet121,101,1.0,0.7590361445783133,0.00030084235860409147,0.0,NN-Patching
gtsrb/densenet121,101,2.0,0.7349397590361446,0.00020056157240272763,0.0,NN-Patching
gtsrb/densenet121,101,4.0,0.6867469879518072,0.0,0.0,NN-Patching
gtsrb/densenet121,202,0.5,0.7590361445783133,0.00010028078620136381,0.0005083884087442806,NN-Patching
gtsrb/densenet121,202,1.0,0.7469879518072289,0.0,0.0,NN-Patching
gtsrb/densenet121,202,2.0,0.7108433734939759,0.0,0.0,NN-Patching
gtsrb/densenet121,202,4.0,0.6506024096385542,0.0,0.0,NN-Patching
gtsrb/densenet121,303,0.5,0.8192771084337349,0.00020056157240272763,0.0,NN-Patching
gtsrb/densenet121,303,1.0,0.8072289156626506,0.00010028078620136381,0.0,NN-Patching
gtsrb/densenet121,303,2.0,0.8072289156626506,0.00010028078620136381,0.0,NN-Patching
gtsrb/densenet121,303,4.0,0.8072289156626506,0.0,0.0,NN-Patching
gtsrb/vgg16,101,0.5,0.5052631578947369,0.0006121824303642485,0.0005149330587023687,NN-Patching
gtsrb/vgg16,101,1.0,0.49473684210526314,0.0006121824303642485,0.0005149330587023687,NN-Patching
gtsrb/vgg16,101,2.0,0.4789473684210526,0.00030609121518212427,0.0005149330587023687,NN-Patching
gtsrb/vgg16,101,4.0,0.4473684210526316,0.00020406081012141618,0.0,NN-Patching
gtsrb/vgg16,202,0.5,0.4842105263157895,0.001224364860728497,0.0010449320794148381,NN-Patching
gtsrb/vgg16,202,1.0,0.45789473684210524,0.0009182736455463728,0.0010449320794148381,NN-Patching
gtsrb/vgg16,202,2.0,0.45263157894736844,0.0005101520253035404,0.0005224660397074191,NN-Patching
gtsrb/vgg16,202,4.0,0.4368421052631579,0.00030609121518212427,0.0005224660397074191,NN-Patching
gtsrb/vgg16,303,0.5,0.6526315789473685,0.001224364860728497,0.0010427528675703858,NN-Patching
gtsrb/vgg16,303,1.0,0.6473684210526316,0.0007142128354249566,0.0010427528675703858,NN-Patching
gtsrb/vgg16,303,2.0,0.631578947368421,0.00040812162024283236,0.0010427528675703858,NN-Patching
gtsrb/vgg16,303,4.0,0.5842105263157895,0.00010203040506070809,0.0005213764337851929,NN-Patching
tt100k_signs/resnet50,101,0.5,0.5155038759689923,0.0015189174261253798,0.00024354603019970775,NN-Patching
tt100k_signs/resnet50,101,1.0,0.5077519379844961,0.0011046672190002762,0.00024354603019970775,NN-Patching
tt100k_signs/resnet50,101,2.0,0.47674418604651164,0.0008285004142502071,0.0,NN-Patching
tt100k_signs/resnet50,101,4.0,0.4496124031007752,0.0005523336095001381,0.0,NN-Patching
tt100k_signs/resnet50,202,0.5,0.5503875968992248,0.0012427506213753107,0.00024551927326295114,NN-Patching
tt100k_signs/resnet50,202,1.0,0.5232558139534884,0.0011046672190002762,0.00024551927326295114,NN-Patching
tt100k_signs/resnet50,202,2.0,0.49224806201550386,0.0006904170118751726,0.0,NN-Patching
tt100k_signs/resnet50,202,4.0,0.4418604651162791,0.0005523336095001381,0.0,NN-Patching
tt100k_signs/resnet50,303,0.5,0.5077519379844961,0.0005523336095001381,0.000244081034903588,NN-Patching
tt100k_signs/resnet50,303,1.0,0.47674418604651164,0.00027616680475006904,0.000244081034903588,NN-Patching
tt100k_signs/resnet50,303,2.0,0.437984496124031,0.00027616680475006904,0.000244081034903588,NN-Patching
tt100k_signs/resnet50,303,4.0,0.4069767441860465,0.00013808340237503452,0.0,NN-Patching
tt100k_signs/convnext_tiny,101,0.5,0.47706422018348627,0.003421845058855735,0.0036398932297985924,NN-Patching
tt100k_signs/convnext_tiny,101,1.0,0.463302752293578,0.0026006022447303584,0.002911914583838874,NN-Patching
