method,setting,seed,n_classes_failed,RR_macro,RR_median_class,RR_p10_class,RR_iqr_class,repair_conc20,repair_spread,repair_spread_z,n_repaired,cov0.3,cov0.5,cov0.7,n_classes_est,Reg_overall,Reg_macro,Reg_max_class,n_classes_hit,frac_classes_hit,reg_conc20,reg_spread,reg_spread_z,n_regressed
FixedPatch,gtsrb/convnext_tiny,202,23,0.5691645569543831,0.5,0.03333333333333336,0.5178981937602627,0.7432432432432432,0.9367681498829039,-1.2575153686480813,148,0.9230769230769231,0.6923076923076923,0.38461538461538464,13,0.004509582863585118,0.003657163545118198,0.06906077348066299,10,0.23255813953488372,0.9772727272727273,0.4348298728122622,-5.958963330064558,44
FixedPatch,gtsrb/convnext_tiny,303,25,0.47848051948051945,0.5,0.0,0.9393939393939394,0.7207792207792207,0.7558074913860175,-3.908343264987572,154,0.9090909090909091,0.9090909090909091,0.45454545454545453,11,0.004304601824331249,0.003281491143210926,0.07142857142857142,9,0.20930232558139536,1.0,0.40124832813196615,-6.875797055504831,42
FixedPatch,gtsrb/densenet121,101,22,0.5367965367965367,0.5,0.0,1.0,0.6166666666666667,0.772399588053553,-3.381442978885573,60,0.8571428571428571,0.8571428571428571,0.7142857142857143,7,0.00421179302045728,0.008870795548421608,0.15384615384615385,7,0.16279069767441862,1.0,0.3116304952698943,-7.3979072579047145,42
FixedPatch,gtsrb/densenet121,202,23,0.4869565217391304,0.5,0.0,1.0,0.7142857142857143,0.70298769771529,-4.57336626964557,56,0.8333333333333334,0.8333333333333334,0.6666666666666666,6,0.0019053349378259125,0.00402297623459855,0.11864406779661017,8,0.18604651162790697,1.0,0.5750224618149147,-3.924399145455684,19
FixedPatch,gtsrb/densenet121,303,21,0.5693121693121692,0.6,0.0,1.0,0.6349206349206349,0.730784288137805,-4.702856309838691,63,1.0,1.0,0.7142857142857143,7,0.0035098275170477337,0.006475315913113974,0.10294117647058823,13,0.3023255813953488,0.8857142857142857,0.6349981682745146,-3.6728688663381197,35
FixedPatch,gtsrb/resnet50,101,20,0.375,0.16666666666666666,0.0,0.75,0.6153846153846154,0.6633499170812603,-3.625578103823147,26,1.0,1.0,0.5,2,0.011867956517403012,0.022974670787288428,0.5454545454545454,14,0.32558139534883723,0.8991596638655462,0.41304027142646405,-9.634664997925055,119
FixedPatch,gtsrb/resnet50,202,20,0.3888095238095238,0.0,0.0,1.0,0.7142857142857143,0.703125,-2.5083737755409086,21,0.5,0.5,0.5,4,0.01007280343073701,0.015501113925036027,0.2826086956521739,12,0.27906976744186046,0.9603960396039604,0.3745610612563402,-9.286085483317319,101
FixedPatch,gtsrb/resnet50,303,20,0.5173809523809523,0.6666666666666666,0.0,1.0,0.5714285714285714,0.7743184384578158,-2.3825099096756426,28,0.6666666666666666,0.6666666666666666,0.6666666666666666,3,0.014261493966291014,0.02147628080950881,0.1875,17,0.3953488372093023,0.8321678321678322,0.4813477737665463,-8.811284138006748,143
FixedPatch,gtsrb/vgg16,101,29,0.4558656608565864,0.6,0.0,0.7894736842105263,0.5775862068965517,0.7435635282089413,-5.501312323354514,116,0.8235294117647058,0.7647058823529411,0.5294117647058824,17,0.012243648607284972,0.02712165067230261,0.7555555555555555,15,0.3488372093023256,0.9333333333333333,0.4485310607759587,-8.523506398963479,120
FixedPatch,gtsrb/vgg16,202,29,0.4114085148567907,0.5,0.0,0.7272727272727273,0.5625,0.6395184802031412,-7.921873611519391,112,0.7894736842105263,0.7368421052631579,0.5263157894736842,19,0.018059381695745332,0.02904800734980012,0.6363636363636364,23,0.5348837209302325,0.8361581920903954,0.625,-7.102653174638705,177
FixedPatch,gtsrb/vgg16,303,30,0.4399721302662479,0.45,0.0,0.8194444444444444,0.5798319327731093,0.7348888480617307,-5.2637947808784284,119,0.8235294117647058,0.7058823529411765,0.5882352941176471,17,0.016324864809713294,0.018180184842779074,0.16875,23,0.5348837209302325,0.81875,0.6403118040089086,-6.535094918109595,160
