method,setting,seed,kind,true_class,n_events,n_pool
Always Patch (ungated),gtsrb/convnext_tiny,303,regression,7,0,340
Always Patch (ungated),gtsrb/convnext_tiny,303,regression,8,27,364
Always Patch (ungated),gtsrb/convnext_tiny,303,regression,9,20,392
Always Patch (ungated),gtsrb/convnext_tiny,303,regression,10,0,520
Always Patch (ungated),gtsrb/convnext_tiny,303,regression,11,0,301
Always Patch (ungated),gtsrb/convnext_tiny,303,regression,12,6,557
Always Patch (ungated),gtsrb/convnext_tiny,303,regression,13,0,587
Always Patch (ungated),gtsrb/convnext_tiny,303,regression,14,0,215
Always Patch (ungated),gtsrb/convnext_tiny,303,regression,15,0,166
Always Patch (ungated),gtsrb/convnext_tiny,303,regression,16,0,123
Always Patch (ungated),gtsrb/convnext_tiny,303,regression,17,0,285
Always Patch (ungated),gtsrb/convnext_tiny,303,regression,18,0,275
Always Patch (ungated),gtsrb/convnext_tiny,303,regression,19,0,53
Always Patch (ungated),gtsrb/convnext_tiny,303,regression,20,0,71
Always Patch (ungated),gtsrb/convnext_tiny,303,regression,21,0,63
Always Patch (ungated),gtsrb/convnext_tiny,303,regression,22,0,78
Always Patch (ungated),gtsrb/convnext_tiny,303,regression,23,88,127
Always Patch (ungated),gtsrb/convnext_tiny,303,regression,24,0,72
Always Patch (ungated),gtsrb/convnext_tiny,303,regression,25,0,336
Always Patch (ungated),gtsrb/convnext_tiny,303,regression,26,2,142
Always Patch (ungated),gtsrb/convnext_tiny,303,regression,27,15,48
Always Patch (ungated),gtsrb/convnext_tiny,303,regression,28,0,116
Always Patch (ungated),gtsrb/convnext_tiny,303,regression,29,0,77
Always Patch (ungated),gtsrb/convnext_tiny,303,regression,30,0,87
Always Patch (ungated),gtsrb/convnext_tiny,303,regression,31,0,225
Always Patch (ungated),gtsrb/convnext_tiny,303,regression,32,0,45
Always Patch (ungated),gtsrb/convnext_tiny,303,regression,33,1,161
Always Patch (ungated),gtsrb/convnext_tiny,303,regression,34,0,101
Always Patch (ungated),gtsrb/convnext_tiny,303,regression,35,2,304
Always Patch (ungated),gtsrb/convnext_tiny,303,regression,36,4,90
Always Patch (ungated),gtsrb/convnext_tiny,303,regression,37,0,53
Always Patch (ungated),gtsrb/convnext_tiny,303,regression,38,0,546
Always Patch (ungated),gtsrb/convnext_tiny,303,regression,39,3,72
Always Patch (ungated),gtsrb/convnext_tiny,303,regression,40,2,68
Always Patch (ungated),gtsrb/convnext_tiny,303,regression,41,0,39
Always Patch (ungated),gtsrb/convnext_tiny,303,regression,42,0,5
Always Patch (ungated),gtsrb/densenet121,101,repair,1,2,2
Always Patch (ungated),gtsrb/densenet121,101,repair,2,1,1
Always Patch (ungated),gtsrb/densenet121,101,repair,3,2,7
Always Patch (ungated),gtsrb/densenet121,101,repair,4,1,1
Always Patch (ungated),gtsrb/densenet121,101,repair,6,2,2
Always Patch (ungated),gtsrb/densenet121,101,repair,8,9,9
Always Patch (ungated),gtsrb/densenet121,101,repair,11,2,3
Always Patch (ungated),gtsrb/densenet121,101,repair,12,1,1
Always Patch (ungated),gtsrb/densenet121,101,repair,18,3,4
Always Patch (ungated),gtsrb/densenet121,101,repair,21,2,2
Always Patch (ungated),gtsrb/densenet121,101,repair,22,0,1
Always Patch (ungated),gtsrb/densenet121,101,repair,24,0,1
Always Patch (ungated),gtsrb/densenet121,101,repair,25,5,7
Always Patch (ungated),gtsrb/densenet121,101,repair,26,1,1
Always Patch (ungated),gtsrb/densenet121,101,repair,27,9,9
Always Patch (ungated),gtsrb/densenet121,101,repair,30,2,2
Always Patch (ungated),gtsrb/densenet121,101,repair,31,10,10
