method,setting,seed,split,grouping,n_vec,n_groups,cos_within,cos_between,cos_gap,cos_gap_null_mean,cos_gap_null_sd,cos_z,cos_p_perm,l2_within,l2_between,l2_gap,l2_gap_null_mean,l2_gap_null_sd,l2_z,l2_p_perm,n_pairs_within,n_pairs_between,note
PatchNAS,tt100k_signs/resnet50,101,held,true_class,258,91.0,0.05365123104566086,0.11712638145035942,0.06347515040469856,-0.0003705860831500316,0.0038732917602843846,16.483585648264548,0.0,0.6492260283345127,1.0114376047620062,0.36221157642749346,0.00013833688728665916,0.017588434535050945,20.585870720789092,0.0,813.0,32340.0,
PatchNAS,tt100k_signs/resnet50,202,seen,failure_type,206,118.0,0.020577703347846987,0.11910410832577537,0.09852640497792838,0.00039961026766408025,0.005665738557058895,17.31932981106049,0.0,0.45988666988003724,1.0159832488316387,0.5560965789516015,0.0003602205781687806,0.024683270286872602,22.514697278442778,0.0,228.0,20887.0,
PatchNAS,tt100k_signs/resnet50,202,seen,true_class,206,76.0,0.04819017288070774,0.12013923022924355,0.07194905734853582,0.00020860570206321773,0.006377589597849524,11.24883477284492,0.0,0.6308473382741879,1.0213714970828913,0.3905241588087034,0.0010675792359054299,0.025046869350017587,15.54911211116991,0.0,616.0,20499.0,
PatchNAS,tt100k_signs/resnet50,202,held,failure_type,258,143.0,0.01783116291545638,0.11355640558454998,0.0957252426690936,0.00014953827785906413,0.004688193783575158,20.386466256086205,0.0,0.427612805292604,1.010735889672918,0.5831230843803139,0.001159128728128726,0.024019674247908244,24.228636476143592,0.0,450.0,32703.0,
PatchNAS,tt100k_signs/resnet50,202,held,true_class,258,92.0,0.05397441084758673,0.11402866142453934,0.06005425057695261,0.0005436201148183462,0.0037366572035547993,15.92616801712337,0.0,0.6327820924049609,1.014068707878261,0.3812866154733002,0.0005489902826569599,0.01914224391704553,19.889916084065735,0.0,978.0,32175.0,
PatchNAS,tt100k_signs/resnet50,303,seen,failure_type,206,112.0,0.021919651468453007,0.1509542811831723,0.1290346297147193,-0.0001738056636551015,0.010102576213453656,12.789652127891612,0.0,0.43061030739496925,1.0246542788886137,0.5940439714936445,0.002764352213100198,0.025465747498106657,23.21862412643833,0.0,301.0,20814.0,
PatchNAS,tt100k_signs/resnet50,303,seen,true_class,206,79.0,0.05943596736684575,0.15158048185286058,0.09214451448601482,0.0005214896878030613,0.008578468783943992,10.680580310441725,0.0,0.6053102041981765,1.0274826081723367,0.4221724039741602,0.0007564509325072999,0.020363880592498832,20.694285212818915,0.0,565.0,20550.0,
PatchNAS,tt100k_signs/resnet50,303,held,failure_type,258,141.0,0.030429909793956187,0.13143565260791462,0.10100574281395844,0.00019465133176837013,0.0056194522443386305,17.939665127648958,0.0,0.47879681745535757,1.0101799582831592,0.5313831408278016,-0.0026411529111084174,0.01947515167229104,27.42080281055224,0.0,360.0,32793.0,
PatchNAS,tt100k_signs/resnet50,303,held,true_class,258,89.0,0.07046107106959953,0.1321665895280477,0.061705518458448155,2.3884422910730938e-05,0.0053036978966788904,11.629929763256644,0.0,0.661088105806416,1.01488948762431,0.353801381817894,-0.0011706928311535786,0.02102552069551682,16.882914804951955,0.0,982.0,32171.0,
PatchNAS,tt100k_signs/convnext_tiny,101,seen,failure_type,173,92.0,0.0349583368918969,0.262769315470191,0.2278109785782941,-0.00027287590118467696,0.009478799819143803,24.06252466633677,0.0,0.37559821895113593,0.9816083762502222,0.6060101572990864,0.0014646563644721599,0.020911861420726808,28.90921514554937,0.0,283.0,14595.0,
PatchNAS,tt100k_signs/convnext_tiny,101,seen,true_class,173,69.0,0.06737093914398674,0.26420424035182566,0.19683330120783893,-3.294993441381067e-05,0.007466158494042254,26.367810336865688,0.0,0.4464703021626485,0.9858889001240999,0.5394185979614514,-0.0008440140525985889,0.016966775655411923,31.84238555131005,0.0,436.0,14442.0,
PatchNAS,tt100k_signs/convnext_tiny,101,held,failure_type,218,117.0,0.04341211485115992,0.2625206445170436,0.21910852966588368,0.0005258848321134484,0.008513054408516765,25.676171479582717,0.0,0.40493156418471055,0.9895014553434569,0.5845698911587464,-0.002825615363447365,0.017580326620351576,33.4120929134953,0.0,266.0,23387.0,
PatchNAS,tt100k_signs/convnext_tiny,101,held,true_class,218,87.0,0.12138040976346479,0.2633886833687672,0.1420082736053024,-8.567379522944174e-05,0.007560074836803288,18.795309629741674,0.0,0.5775806934951311,0.9926671160836765,0.41508642258854545,-0.0019140380933217243,0.01633755422163024,25.5240444805534,0.0,555.0,23098.0,
PatchNAS,tt100k_signs/convnext_tiny,202,seen,failure_type,174,99.0,0.030422403207125765,0.2274937584839565,0.19707135527683073,-0.0012388807911889125,0.00861441894418268,23.02073271917172,0.0,0.39225337273600425,0.9921245832849804,0.5998712105489762,-0.0019692666140194628,0.021599103562451403,27.864141462861028,0.0,197.0,14854.0,
PatchNAS,tt100k_signs/convnext_tiny,202,seen,true_class,174,77.0,0.06934947900014357,0.22835840895065854,0.15900892995051497,-0.0005732637454600036,0.006851578006264568,23.291305087203803,0.0,0.5059578562458733,0.9948624932704879,0.4889046370246146,-0.00048370133514491265,0.016888823291303715,28.9770536342088,0.0,326.0,14725.0,
PatchNAS,tt100k_signs/convnext_tiny,202,held,failure_type,217,118.0,0.036587280984505074,0.2266387315706896,0.1900514505861845,0.0009286636469681661,0.008285208010497324,22.826558690713856,0.0,0.40520608058869595,0.9907710823243088,0.5855650017356129,0.0015369573195132603,0.01940001894891561,30.10450896588635,0.0,343.0,23093.0,
PatchNAS,tt100k_signs/convnext_tiny,202,held,true_class,217,85.0,0.09812499967108272,0.2278309673288046,0.12970596765772185,0.00036837529246746046,0.006822713866790151,18.956912875366747,0.0,0.5755977710545317,0.9950516370340714,0.4194538659795397,0.0004243833555045784,0.015644217617477422,26.784943347318208,0.0,718.0,22718.0,
PatchNAS,tt100k_signs/convnext_tiny,303,seen,failure_type,174,103.0,0.03759790013470446,0.22960189266724865,0.1920039925325442,-0.0007671615270736476,0.006790859003933358,28.386858557890143,0.0,0.4098242657800679,1.002623423734281,0.5927991579542131,0.0010408550204081318,0.0222573599731196,26.587084165502528,0.0,173.0,14878.0,
PatchNAS,tt100k_signs/convnext_tiny,303,seen,true_class,174,79.0,0.08016765504138298,0.2311054671658142,0.15093781212443122,-0.0005387490988076229,0.006415817191712154,23.609862418664903,0.0,0.5395315484502867,1.0073090541088467,0.46777750565856,0.0015589663815328719,0.017916610465473236,26.021581489950158,0.0,370.0,14681.0,
PatchNAS,tt100k_signs/convnext_tiny,303,held,failure_type,218,113.0,0.03241421777028121,0.21986478479426566,0.18745056702398444,-0.00021857866697174322,0.007145362172899683,26.264469333194494,0.0,0.41257585482389886,0.9862567068216014,0.5736808519977026,0.0012474640620850292,0.02063412205947358,27.742076268520414,0.0,393.0,23260.0,
PatchNAS,tt100k_signs/convnext_tiny,303,held,true_class,218,84.0,0.0772344834434789,0.22059285891633754,0.14335837547285862,-0.00026266767809799807,0.005826982111304483,24.647586071644326,0.0,0.5479175189460961,0.9885352797517014,0.44061776080560533,0.00011935715882682107,0.01573152035456576,28.00100649464129,0.0,634.0,23019.0,
PatchNAS,tt100k_signs/densenet121,101,seen,failure_type,250,131.0,0.1557176195535158,0.4425494854244922,0.2868318658709764,3.7131725565146546e-05,0.01411375421072225,20.320230170028925,0.0,0.5348185129530293,1.0213111159665287,0.4864926030134994,0.0001760669512934393,0.022782169857586944,21.346365999413614,0.0,372.0,30753.0,
PatchNAS,tt100k_signs/densenet121,101,seen,true_class,250,85.0,0.20485970283357038,0.44480287214508935,0.23994316931151896,-0.0008617623579461633,0.010031041847412511,24.00597418577955,0.0,0.6301844267902741,1.0248416254308526,0.39465719864057847,-0.00135399403635797,0.01834564903852689,21.586109699564442,0.0,737.0,30388.0,
PatchNAS,tt100k_signs/densenet121,101,held,failure_type,312,141.0,0.12860123000541776,0.4354710713123614,0.3068698413069436,-7.75600126787479e-05,0.01383105263265265,22.192627665430294,0.0,0.5229521312893871,1.031054740811404,0.5081026095220168,-0.0006722037621453247,0.020968645509651003,24.263599335766845,0.0,716.0,47800.0,
PatchNAS,tt100k_signs/densenet121,101,held,true_class,312,92.0,0.20171378956042085,0.4379892463387969,0.23627545677837603,-0.0002745902351443821,0.010312393028513875,22.93842431494985,0.0,0.6540397026687584,1.0349158657933377,0.3808761631245793,-0.00038028680176713627,0.015747895261696027,24.209994006594357,0.0,1447.0,47069.0,
PatchNAS,tt100k_signs/densenet121,202,seen,failure_type,250,134.0,0.12302256177137809,0.37786322480899354,0.25484066303761543,-0.0006269116440501718,0.015244520480357779,16.757993470117462,0.0,0.48573278350484733,1.0163057086766336,0.5305729251717863,0.0037525716222587806,0.022261321362342924,23.66527776814846,0.0,357.0,30768.0,
PatchNAS,tt100k_signs/densenet121,202,seen,true_class,250,83.0,0.1795123565476888,0.37947595357351743,0.19996359702582864,-0.0002593553824958575,0.01176584363562888,17.017305226205767,0.0,0.6133079443839713,1.0194321062342224,0.40612416185025113,0.00016635764604901627,0.014586207764662965,27.831620852121514,0.0,706.0,30419.0,
PatchNAS,tt100k_signs/densenet121,202,held,failure_type,312,127.0,0.11881853454930068,0.35960450882726464,0.24078597427796394,-0.0013613964196236023,0.014748304046608441,16.418658709226552,0.0,0.5057245226808982,1.0158238165002338,0.5100992938193356,-0.0002320147661880234,0.01746967088524267,29.212416874287456,0.0,790.0,47726.0,
PatchNAS,tt100k_signs/densenet121,202,held,true_class,312,82.0,0.1858054892760515,0.3618148070240348,0.17600931774798328,-0.00034292561073347134,0.012295818499503513,14.342456612505716,0.0,0.6264760317986202,1.0212699215279633,0.39479388972934304,-0.0001868421693601674,0.014795518524287992,26.695970893052223,0.0,1690.0,46826.0,
PatchNAS,tt100k_signs/densenet121,303,seen,failure_type,250,121.0,0.1343492150627505,0.4380026190671775,0.30365340400442703,0.00031178759068793916,0.012432101431717246,24.399866591776885,0.0,0.5041225918813288,1.0262333708076652,0.5221107789263364,-0.002598596481599712,0.022962334954620793,22.85087193536893,0.0,424.0,30701.0,
PatchNAS,tt100k_signs/densenet121,303,seen,true_class,250,82.0,0.1921074011188025,0.44080157487513316,0.24869417375633066,0.0005977165014075137,0.010363532192104397,23.939372468008496,0.0,0.6160188269062616,1.0306849441243078,0.41466611721804614,0.0002668948749305516,0.01662184681729873,24.930997552384493,0.0,868.0,30257.0,
PatchNAS,tt100k_signs/densenet121,303,held,failure_type,312,139.0,0.12132706065123341,0.43801790205653895,0.31669084140530557,-0.0012100075223125803,0.0118144053848574,26.90790086720453,0.0,0.49305825267239967,1.0265540661829577,0.5334958135105581,-0.0006608335415643752,0.019672803815347792,27.15203445521307,0.0,639.0,47877.0,
PatchNAS,tt100k_signs/densenet121,303,held,true_class,312,86.0,0.2051329032567908,0.4403183201430499,0.2351854168862591,-0.000721630072884027,0.008804654767977123,26.79344655174362,0.0,0.650513444976043,1.0299687967837925,0.3794553518077495,-0.000593043817504128,0.01542537408573252,24.63787221550342,0.0,1335.0,47181.0,
PatchNAS,tt100k_signs/vgg16,101,seen,failure_type,262,155.0,0.006262638328476724,0.04334541970456611,0.037082781376089384,0.000132893463152763,0.0021666352948655197,17.05404134394294,0.0,0.6736656503993591,1.2906804474491733,0.6170147970498142,0.0003165281125270358,0.08433887953401144,7.312146809838496,0.0,256.0,33935.0,
