experiment_id,setting,dataset,backbone,seed,condition,n,n_classes,n_estimable_classes,n_permutations,eligible_fraction,n_eligible,moved_fraction,original_RR_held,original_minus_mean_RR,p_null_ge_original,original_RR_held_eligible,RR_held_mean_eligible,RR_held_std_eligible,RR_held_p025_eligible,RR_held_p975_eligible,original_minus_mean_RR_eligible,p_null_ge_original_eligible,max_reconstruction_error,RR_held_mean,RR_held_std,RR_held_p025,RR_held_p975,macro_RR_mean,macro_RR_std,macro_RR_p025,macro_RR_p975,coverage_at_0.5_mean,coverage_at_0.5_std,coverage_at_0.5_p025,coverage_at_0.5_p975,target_margin_gain_mean,target_margin_gain_std,target_margin_gain_p025,target_margin_gain_p975,flip_rate_mean,flip_rate_std,flip_rate_p025,flip_rate_p975
patch_reassignment_v1,gtsrb/densenet121,gtsrb,densenet121,101,global_effect_shuffle,83,22,7,200,1.0,83,0.988734939759036,0.8313253012048193,0.5278313253012048,0.004975124378109453,0.8313253012048193,0.30349397590361443,0.04438888440250618,0.2286144578313253,0.39759036144578314,0.5278313253012048,0.004975124378109453,0.0,0.30349397590361443,0.04438888440250618,0.2286144578313253,0.39759036144578314,0.2210007215007215,0.052614570453776856,0.1266242784992785,0.34074314574314574,0.26928571428571424,0.138635846588044,0.0,0.5714285714285714,1.3329450533680438,0.2517434673497055,0.8479100639303496,1.8084429596864944,0.5339156626506024,0.04635936516885289,0.4578313253012048,0.6144578313253012
patch_reassignment_v1,gtsrb/densenet121,gtsrb,densenet121,101,global_direction_shuffle,83,22,7,200,1.0,83,0.9876506024096386,0.8313253012048193,0.5154819277108433,0.004975124378109453,0.8313253012048193,0.31584337349397595,0.044494833917193395,0.24066265060240966,0.39759036144578314,0.5154819277108433,0.004975124378109453,0.0,0.31584337349397595,0.044494833917193395,0.24066265060240966,0.39759036144578314,0.24055844155844155,0.05206855126650113,0.14847853535353536,0.3478769841269841,0.28642857142857137,0.13590024853185664,0.0,0.5714285714285714,1.3947871610972373,0.25693811615234324,0.8851889490847665,1.8793194332962342,0.5371686746987951,0.04468040247703947,0.4575301204819277,0.6265060240963856
patch_reassignment_v1,gtsrb/densenet121,gtsrb,densenet121,101,global_magnitude_shuffle,83,22,7,200,1.0,83,0.9880722891566265,0.8313253012048193,-0.008915662650602174,0.9651741293532339,0.8313253012048193,0.8402409638554215,0.006171686011983488,0.8192771084337349,0.8433734939759037,-0.008915662650602174,0.9651741293532339,0.0,0.8402409638554215,0.006171686011983488,0.8192771084337349,0.8433734939759037,0.7777651515151515,0.015166233381635176,0.7310606060606062,0.7840909090909091,0.8571428571428571,0.0,0.8571428571428571,0.8571428571428571,5.810906370322605,0.05351552876092467,5.699966633134737,5.917359093083134,0.8884337349397592,0.006171686011983476,0.8674698795180723,0.891566265060241
patch_reassignment_v1,gtsrb/densenet121,gtsrb,densenet121,101,within_true_class_shuffle,83,22,7,200,0.9036144578313253,75,0.737289156626506,0.8313253012048193,-0.017168674698795017,0.9402985074626866,0.8533333333333334,0.8723333333333335,0.016888523387857853,0.84,0.9066666666666666,-0.019000000000000128,0.9402985074626866,0.0,0.8484939759036143,0.015260713904690837,0.8192771084337349,0.8795180722891566,0.7849972943722944,0.011989434408708925,0.7613636363636364,0.8085633116883116,0.8892857142857141,0.059654618173178825,0.8571428571428571,1.0,6.003261653442744,0.050587584551318086,5.914029658078609,6.104138735381056,0.8953614457831327,0.01680614929382173,0.8554216867469879,0.927710843373494
patch_reassignment_v1,gtsrb/densenet121,gtsrb,densenet121,101,within_failure_type_shuffle,83,22,7,200,0.7590361445783133,63,0.5922289156626506,0.8313253012048193,0.007951807228915864,0.373134328358209,0.873015873015873,0.8625396825396825,0.011494518723956623,0.8412698412698413,0.8888888888888888,0.010476190476190528,0.373134328358209,0.0,0.8233734939759034,0.008724755176015274,0.8072289156626506,0.8433734939759037,0.7702083333333334,0.00944145409567667,0.7537878787878789,0.7916666666666665,0.8571428571428571,0.0,0.8571428571428571,0.8571428571428571,6.126018103840481,8.881784197001252e-16,6.12601810384048,6.12601810384048,0.8715662650602409,0.008724755176015246,0.8554216867469879,0.891566265060241
patch_reassignment_v1,gtsrb/densenet121,gtsrb,densenet121,202,original,83,23,6,1,1.0,83,0.0,0.7710843373493976,0.0,nan,0.7710843373493976,0.7710843373493976,0.0,0.7710843373493976,0.7710843373493976,0.0,nan,0.0,0.7710843373493976,0.0,0.7710843373493976,0.7710843373493976,0.6847826086956522,0.0,0.6847826086956522,0.6847826086956522,0.8333333333333334,0.0,0.8333333333333334,0.8333333333333334,6.392179352343531,0.0,6.392179352343531,6.392179352343531,0.8674698795180723,0.0,0.8674698795180723,0.8674698795180723
patch_reassignment_v1,gtsrb/densenet121,gtsrb,densenet121,202,global_effect_shuffle,83,23,6,200,1.0,83,0.9876506024096386,0.7710843373493976,0.45837349397590366,0.004975124378109453,0.7710843373493976,0.312710843373494,0.04175872155555555,0.24096385542168675,0.39759036144578314,0.45837349397590366,0.004975124378109453,0.0,0.312710843373494,0.04175872155555555,0.24096385542168675,0.39759036144578314,0.2363025362318841,0.0491497185646815,0.14831521739130435,0.32903985507246375,0.32,0.1702612371882951,0.0,0.6666666666666666,1.477858906517153,0.24560570848134766,0.9679251391373306,1.9623494641002581,0.5483132530120483,0.04781463093688098,0.4578313253012048,0.6385542168674698
patch_reassignment_v1,gtsrb/densenet121,gtsrb,densenet121,202,global_direction_shuffle,83,23,6,200,1.0,83,0.9876506024096385,0.7710843373493976,0.4645783132530121,0.004975124378109453,0.7710843373493976,0.30650602409638555,0.03869777489690148,0.24066265060240966,0.3855421686746988,0.4645783132530121,0.004975124378109453,0.0,0.30650602409638555,0.03869777489690148,0.24066265060240966,0.3855421686746988,0.218070652173913,0.04770199560020268,0.13297101449275364,0.3058061594202898,0.335,0.15091388272786568,0.0,0.6666666666666666,1.5871883764582764,0.25644245086055495,1.0955417469520157,2.084718501032194,0.548012048192771,0.0384595505700197,0.46987951807228917,0.6144578313253012
patch_reassignment_v1,gtsrb/densenet121,gtsrb,densenet121,202,global_magnitude_shuffle,83,23,6,200,1.0,83,0.9878915662650601,0.7710843373493976,-0.001325301204819218,0.7810945273631841,0.7710843373493976,0.7724096385542168,0.009316143817938929,0.7590361445783133,0.7831325301204819,-0.001325301204819218,0.7810945273631841,0.0,0.7724096385542168,0.009316143817938929,0.7590361445783133,0.7831325301204819,0.6842391304347825,0.009015188821627815,0.6630434782608695,0.6934782608695652,0.9008333333333334,0.08181534085976783,0.8333333333333334,1.0,6.057080512297225,0.0466057815221135,5.965206831998231,6.146257345586528,0.8809036144578315,0.00894958541562832,0.8674698795180723,0.891566265060241
patch_reassignment_v1,gtsrb/densenet121,gtsrb,densenet121,202,within_true_class_shuffle,83,23,6,200,0.9036144578313253,75,0.7232530120481928,0.7710843373493976,-0.006807228915662766,0.8308457711442786,0.7866666666666666,0.7942,0.01619753067600122,0.76,0.8266666666666667,-0.007533333333333392,0.8308457711442786,0.0,0.7778915662650604,0.014636322900001088,0.7469879518072289,0.8072289156626506,0.6904347826086956,0.011039968630951826,0.6694565217391305,0.7130434782608696,0.8516666666666667,0.05214829282387337,0.8333333333333334,1.0,6.179905445210591,0.06021920479403324,6.071596759032593,6.321284422901156,0.853012048192771,0.014255613935179785,0.8313253012048193,0.8795180722891566
